year,company_count,mean_debt_to_revenue,min_ratio,max_ratio
2005,759,0.973,0.0,195.62
2006,785,0.651,0.0,113.19
2007,807,0.558,0.0,13.487
2008,815,0.658,0.0,101.089
2009,830,0.586,0.0,47.829
2010,849,0.478,0.0,7.725
2011,855,0.501,0.0,8.315
2012,860,0.496,0.0,7.23
2013,867,0.511,0.0,10.673
2014,873,0.542,0.0,9.966
2015,852,0.609,0.0,10.796
2016,836,0.648,0.0,11.636
2017,824,0.648,0.0,11.378
2018,814,0.624,0.0,14.553
2019,799,0.71,0.0,10.707
2020,785,1.607,0.0,600.0
2021,773,0.793,0.0,20.296
2022,754,0.637,0.0,12.82
2023,740,0.624,0.0,11.565
2024,716,0.634,0.0,11.652
