year,deleveraging_companies,gics_sector_name,count_by_sector
2007,33,Consumer Discretionary,33
2007,25,Health Care,25
2007,22,Information Technology,22
2007,17,Materials,17
2007,17,Energy,17
2007,16,Industrials,16
2007,9,Consumer Staples,9
2007,9,Communication Services,9
2007,8,Utilities,8
2007,2,Real Estate,2
2008,22,Energy,22
2008,20,Health Care,20
2008,20,Consumer Discretionary,20
2008,19,Information Technology,19
2008,12,Industrials,12
2008,12,Communication Services,12
2008,11,Materials,11
2008,8,Real Estate,8
2008,7,Consumer Staples,7
2008,4,Utilities,4
2009,30,Health Care,30
2009,21,Consumer Discretionary,21
2009,19,Information Technology,19
2009,15,Real Estate,15
2009,14,Industrials,14
2009,8,Consumer Staples,8
2009,7,Communication Services,7
2009,6,Materials,6
2009,5,Energy,5
2009,2,Utilities,2
2010,32,Consumer Discretionary,32
2010,21,Health Care,21
2010,17,Information Technology,17
2010,16,Industrials,16
2010,12,Consumer Staples,12
2010,9,Real Estate,9
2010,9,Materials,9
2010,9,Communication Services,9
2010,3,Utilities,3
2010,3,Energy,3
2011,45,Consumer Discretionary,45
2011,29,Industrials,29
2011,28,Information Technology,28
2011,17,Health Care,17
2011,14,Communication Services,14
2011,13,Materials,13
2011,11,Consumer Staples,11
2011,9,Real Estate,9
2011,6,Energy,6
2011,5,Utilities,5
2012,42,Consumer Discretionary,42
2012,27,Industrials,27
2012,23,Information Technology,23
2012,15,Health Care,15
2012,11,Consumer Staples,11
2012,8,Real Estate,8
2012,6,Materials,6
2012,5,Energy,5
2012,5,Communication Services,5
2012,4,Utilities,4
2013,34,Industrials,34
2013,32,Consumer Discretionary,32
2013,18,Information Technology,18
2013,18,Health Care,18
2013,13,Communication Services,13
2013,11,Real Estate,11
2013,9,Materials,9
2013,8,Consumer Staples,8
2013,6,Energy,6
2013,1,Utilities,1
2014,23,Consumer Discretionary,23
2014,22,Industrials,22
2014,21,Health Care,21
2014,12,Real Estate,12
2014,12,Information Technology,12
2014,10,Consumer Staples,10
2014,8,Energy,8
2014,7,Materials,7
2014,5,Communication Services,5
2014,4,Utilities,4
2015,22,Consumer Discretionary,22
2015,16,Health Care,16
2015,15,Real Estate,15
2015,13,Information Technology,13
2015,8,Industrials,8
2015,6,Materials,6
2015,4,Consumer Staples,4
2015,3,Energy,3
2015,3,Communication Services,3
2016,21,Consumer Discretionary,21
2016,19,Real Estate,19
2016,15,Information Technology,15
2016,13,Industrials,13
2016,11,Health Care,11
2016,7,Materials,7
2016,5,Communication Services,5
2016,3,Consumer Staples,3
2017,25,Industrials,25
2017,22,Consumer Discretionary,22
2017,19,Health Care,19
2017,17,Real Estate,17
2017,17,Information Technology,17
2017,11,Communication Services,11
2017,8,Materials,8
2017,4,Energy,4
2017,3,Consumer Staples,3
2018,34,Industrials,34
2018,23,Health Care,23
2018,19,Information Technology,19
2018,18,Consumer Discretionary,18
2018,14,Real Estate,14
2018,13,Energy,13
2018,11,Materials,11
2018,7,Communication Services,7
2018,4,Consumer Staples,4
2018,1,Utilities,1
2019,19,Information Technology,19
2019,19,Consumer Discretionary,19
2019,14,Health Care,14
2019,9,Industrials,9
2019,8,Energy,8
2019,7,Consumer Staples,7
2019,5,Real Estate,5
2019,5,Materials,5
2019,5,Communication Services,5
2020,10,Health Care,10
2020,6,Information Technology,6
2020,6,Consumer Discretionary,6
2020,3,Industrials,3
2020,2,Energy,2
2020,2,Consumer Staples,2
2020,2,Communication Services,2
2020,1,Real Estate,1
2020,1,Materials,1
2021,20,Industrials,20
2021,19,Health Care,19
2021,18,Information Technology,18
2021,10,Consumer Discretionary,10
2021,6,Consumer Staples,6
2021,4,Real Estate,4
2021,4,Materials,4
2021,3,Energy,3
2021,3,Communication Services,3
2022,37,Industrials,37
2022,30,Information Technology,30
2022,26,Consumer Discretionary,26
2022,16,Real Estate,16
2022,15,Health Care,15
2022,12,Energy,12
2022,12,Communication Services,12
2022,11,Consumer Staples,11
2022,10,Materials,10
2022,7,Utilities,7
2023,38,Consumer Discretionary,38
2023,28,Information Technology,28
2023,26,Industrials,26
2023,19,Real Estate,19
2023,14,Health Care,14
2023,10,Consumer Staples,10
2023,10,Communication Services,10
2023,6,Energy,6
2023,5,Utilities,5
2023,5,Materials,5
2024,29,Industrials,29
2024,28,Consumer Discretionary,28
2024,18,Information Technology,18
2024,18,Health Care,18
2024,15,Real Estate,15
2024,8,Communication Services,8
2024,7,Consumer Staples,7
2024,3,Materials,3
2024,3,Energy,3
